AA    ;LOCATION           ;DATE      ;MIS;DW ;DM ;DC ;CAUSE OF DEATH                                                                                                                                        ;LOCATION DESCR.                                                                                                                                                                    ;COORDINATES                           ;URL                                                                                                                                                                  
002827;US-Mexico Border   ;18/06/2018;000;000;001;000;Unknown                                                                                                                                               ;Los Compadres Ranch, Brooks County, Texas, USA                                                                                                                                     ;  +27.181724548340,  -98.382743835449;
002828;Sub-Saharan Africa ;18/06/2018;000;001;001;001;Sickness and lack of access to medicines, Vehicle Accident                                                                                            ;Kayes, Mali                                                                                                                                                                        ;  +14.449999809265,  -11.433333396912;http://www.mixedmigration.org/4mi/
002829;US-Mexico Border   ;17/06/2018;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near International Bridge III, Nuevo Laredo, Tamaulipas, Mexico                                                                                                        ;  +27.596675872803,  -99.537033081055;https://bit.ly/2I2hvde
002830;US-Mexico Border   ;17/06/2018;000;000;000;000;Vehicle Accident                                                                                                                                      ;Highway 85 in Big Wells, Dimmit County, Texas, USA                                                                                                                                 ;  +28.573390960693,  -99.559684753418;https://usat.ly/2JWDvrJ
002831;Mediterranean      ;17/06/2018;038;000;000;000;Presumed drowning                                                                                                                                     ;18 miles south of Cabo de Gata, Almer  a, Spain                                                                                                                                    ;  +36.475227355957,   -2.230208158493;https://bit.ly/2t8HTxa
002832;Mediterranean      ;17/06/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;On board a commercial ship after being rescued off the coast of Libya                                                                                                              ;  +33.909919738770,  +12.888975143433;https://bit.ly/2tgMrkx
002833;US-Mexico Border   ;17/06/2018;000;000;001;000;Probable hyperthermia                                                                                                                                 ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.458091735840, -113.163993835449;http://www.humaneborders.info/
002834;Sub-Saharan Africa ;17/06/2018;000;000;003;000;Sickness and lack of access to medicines                                                                                                              ;Bamako, Mali                                                                                                                                                                       ;  +12.639166831970,   -8.065699577332;http://www.mixedmigration.org/4mi/
002835;Sub-Saharan Africa ;16/06/2018;000;000;000;000;Vehicle Accident                                                                                                                                      ;Highway 304, Tsangano, Tete province, Mozambique                                                                                                                                   ;  -15.295061111450,  +34.442272186279;https://bit.ly/2ln0pO3
002836;US-Mexico Border   ;16/06/2018;000;000;001;000;Unknown                                                                                                                                               ;Ranch in Brooks County, Texas, USA                                                                                                                                                 ;  +27.246999740601,  -98.431243896484;
002837;Middle East        ;16/06/2018;000;000;001;000;Shot                                                                                                                                                  ;Syria-Turkey border, near Al-Deriyyeh, Darkush, Idlib Governorate, Syria                                                                                                           ;  +36.002632141113,  +36.368228912354;http://www.syriahr.com/en/?p=95570
002838;North Africa       ;16/06/2018;000;001;000;001;Sickness and lack of access to medicines                                                                                                              ;Sahara desert, Libya                                                                                                                                                               ;  +25.860996246338,  +14.665825843811;http://www.mixedmigration.org/4mi/
002839;North Africa       ;16/06/2018;000;001;000;000;Vehicle Accident                                                                                                                                      ;Sahara desert near Atbara, Sudan                                                                                                                                                   ;  +18.074279785156,  +34.434547424316;http://www.mixedmigration.org/4mi/
002840;North Africa       ;16/06/2018;000;001;001;002;Sickness and lack of access to medicines, Harsh weather/lack of adequate shelter, Suffocation                                                         ;Sahara desert, Sudan, near the border with Egypt                                                                                                                                   ;  +21.943708419800,  +27.672666549683;http://www.mixedmigration.org/4mi/
002841;North Africa       ;16/06/2018;000;001;001;000;Excessive Physical Abuse, Sexual abuse                                                                                                                ;Unspecified location in the Sahara desert, Sudan                                                                                                                                   ;  +19.635356903076,  +27.103538513184;http://www.mixedmigration.org/4mi/
002842;Mediterranean      ;15/06/2018;000;000;000;000;Presumed drowning                                                                                                                                     ;Gibraltar Strait, between Spain and Morocco                                                                                                                                        ;  +36.010330200195,   -5.441475391388;https://bit.ly/2MxBzaC
002843;US-Mexico Border   ;15/06/2018;000;000;001;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.033763885498, -112.913719177246;http://www.humaneborders.info/
002844;Europe             ;15/06/2018;000;000;001;000;Stabbed                                                                                                                                               ;Velika Kladu  a, Una-Sana, Bosnia and Herzegovina, near border with Croatia                                                                                                        ;  +45.190029144287,  +15.788108825684;https://reliefweb.int/sites/reliefweb.int/files/resources/64659.pdf
002845;Mediterranean      ;14/06/2018;000;000;001;000;Presumed drowning                                                                                                                                     ;Gibraltar Strait, between Spain and Morocco                                                                                                                                        ;  +36.008666992188,   -5.398903369904;https://bit.ly/2JWb3WT
002846;US-Mexico Border   ;14/06/2018;000;000;001;000;Unknown                                                                                                                                               ;Isabella Ranch, Brooks County, Texas, USA                                                                                                                                          ;  +27.075630187988,  -98.452613830566;
002847;US-Mexico Border   ;13/06/2018;000;000;001;000;Drowning                                                                                                                                              ;R  o Bravo, near   jido El Moral, Piedras Negras, Coahuila, Mexico                                                                                                                 ;  +28.900508880615, -100.612136840820;https://bit.ly/2HXhp6A
002848;US-Mexico Border   ;13/06/2018;000;000;001;000;Probable hyperthermia                                                                                                                                 ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.929695129395, -111.784828186035;http://www.humaneborders.info/
002849;US-Mexico Border   ;13/06/2018;000;000;001;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +32.196910858154, -111.773956298828;http://www.humaneborders.info/
002850;US-Mexico Border   ;13/06/2018;000;000;001;000;Unknown                                                                                                                                               ;Jones Ranch, Brooks County, Texas, USA                                                                                                                                             ;  +26.981996536255,  -98.405342102051;
002851;North Africa       ;13/06/2018;000;000;001;001;Sickness and lack of access to medicines, Dehydration, Harsh weather/lack of adequate shelter                                                         ;Sahara desert, Libya                                                                                                                                                               ;  +25.180980682373,  +14.216798782349;http://www.mixedmigration.org/4mi/
002852;North Africa       ;13/06/2018;000;000;002;000;Shot or stabbed                                                                                                                                       ;Sabha, Libya                                                                                                                                                                       ;  +27.117507934570,  +14.367081642151;http://www.mixedmigration.org/4mi/
002853;Sub-Saharan Africa ;13/06/2018;000;000;003;000;Dehydration, Vehicle Accident                                                                                                                         ;Agadez, Niger                                                                                                                                                                      ;  +16.974855422974,   +7.982421875000;http://www.mixedmigration.org/4mi/
002854;US-Mexico Border   ;13/06/2018;000;000;000;000;Unknown                                                                                                                                               ;Private ranch in Kenedy County, Texas, USA                                                                                                                                         ;  +26.832605361938,  -97.817398071289;
002855;Mediterranean      ;12/06/2018;076;015;000;001;Presumed drowning                                                                                                                                     ;Unspecified location 20 miles off the coast of Libya                                                                                                                               ;  +33.301441192627,  +12.526426315308;https://bit.ly/2tiv56y
002856;US-Mexico Border   ;12/06/2018;000;000;000;000;Unknown (skeletal remains)                                                                                                                            ;Pima County jurisdiction, Arizona, USA                                                                                                                                             ;  +31.527145385742, -111.353805541992;http://www.humaneborders.info/
002857;North Africa       ;12/06/2018;000;000;001;000;Sickness and lack of access to medicines                                                                                                              ;Sahara desert, Libya                                                                                                                                                               ;  +23.719982147217,  +12.391467094421;http://www.mixedmigration.org/4mi/
002858;Sub-Saharan Africa ;12/06/2018;000;001;000;000;Sickness and lack of access to medicines                                                                                                              ;Zinder, Niger                                                                                                                                                                      ;  +13.747391700745,   +8.946789741516;http://www.mixedmigration.org/4mi/
